state,constituency,name,name_title,party,photo_url
Maharashtra,Latur,Shivaji Kalge,Kalge Shivaji Bandappa,Indian National Congress,
Maharashtra,Solapur,Praniti Shinde,Praniti Shinde,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/4/47/Praniti_Shinde.jpg
Maharashtra,Madha,Dhairyasheel Mohite Patil,Dhairyasheel Patil,Nationalist Congress Party (Sharadchandra Pawar),
Maharashtra,Sangli,Vishal Patil,Vishal Patil,Independent,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/MP_Vishal_Patil.jpg/500px-MP_Vishal_Patil.jpg
Maharashtra,Satara,Udayanraje Bhosale,Udayanraje Bhosale,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/b/b0/Udayraje_Bhosale.jpg
Maharashtra,Ratnagiri–Sindhudurg,Narayan Rane,Narayan Rane,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Narayan_Rane_with_PM_Modi_%28cropped%29.jpg/500px-Narayan_Rane_with_PM_Modi_%28cropped%29.jpg
Maharashtra,Kolhapur,Chhatrapati Shahu Maharaj,Shahu II of Kolhapur,Indian National Congress,
Maharashtra,Hatkanangle,Dhairyasheel Mane,Dhairyasheel Sambhajirao Mane,Shiv Sena (2022–present),
Manipur,Inner Manipur,Angomcha Bimol Akoijam,Angomcha Bimol Akoijam,Indian National Congress,
Manipur,Outer Manipur,Alfred Kan-Ngam Arthur,Alfred Kan-Ngam Arthur,Indian National Congress,
Meghalaya,Shillong,Ricky A. J. Syngkon,Ricky A. J. Syngkon,Voice of the People Party (Meghalaya),
Meghalaya,Tura,Saleng A. Sangma,Saleng A. Sangma,Indian National Congress,
Mizoram,Mizoram,Richard Vanlalhmangaiha,Richard Vanlalhmangaiha,Zoram People's Movement,https://upload.wikimedia.org/wikipedia/commons/6/64/Richard_Vanlalhmangaiha.jpeg
Nagaland,Nagaland,S. Supongmeren Jamir,S. Supongmeren Jamir,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/d/d8/S._Supongmeren_Jamir.jpg
Odisha,Bargarh,Pradip Purohit,Pradip Purohit,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/2/2b/Pradeep_Purohit_MP_2024.jpg
Odisha,Sundargarh,Jual Oram,Jual Oram,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Jual_Oram_Tribal_Affairs_Minister.jpg/500px-Jual_Oram_Tribal_Affairs_Minister.jpg
